model,evaluations,avg_latency_ms,median_latency_ms,avg_generation_time_ms,avg_output_tokens,avg_total_tokens,avg_retrieval_recall,avg_cpu_peak_pct,avg_memory_peak_pct,blank_answers,errors,rubric_quality_pct,answer_completion_pct,quality_rank,latency_rank,memory_rank,cpu_rank,unanswerable_refusal_pct
granite4.2:latest,25,41164.37,41987.94,39851.26,649.04,1049.84,0.85,47.26,73.28,0,0,98.0,100.0,1,8,1,4,100.0
rnj-1:latest,25,7488.89,5711.05,6053.34,103.96,477.0,0.85,50.77,87.08,0,0,95.33333333333333,100.0,2,5,6,7,100.0
qwen3:latest,25,19754.51,17278.5,18505.5,318.08,671.12,0.85,48.28,79.51,0,0,95.2,100.0,3,6,5,5,100.0
qwen3.5:4b-q8_0,25,78504.65,61347.32,76916.32,1394.24,1768.04,0.85,48.54,78.61,1,0,93.0,96.0,4,9,3,6,100.0
mistral:latest,25,5020.85,4108.15,4086.19,103.04,539.76,0.85,58.78,95.2,0,0,89.86666666666667,100.0,5,3,9,9,80.0
dolphin3:latest,25,4858.95,3667.62,3677.17,74.96,441.0,0.85,56.03,90.71,0,0,87.53333333333333,100.0,6,2,7,8,60.0
hermes3:latest,25,5525.36,4794.09,4310.41,105.24,457.28,0.85,46.62,91.38,0,0,85.66666666666666,100.0,7,4,8,3,40.0
gemma3:1b,25,1169.98,678.54,393.8,50.4,423.92,0.85,30.45,73.48,0,0,70.06666666666666,100.0,8,1,2,2,40.0
qwen3.5:0.8b,25,28861.61,31492.7,28312.3,3275.76,3649.56,0.85,20.63,79.32,15,0,33.33333333333333,40.0,9,7,4,1,60.0
